C101

VEHICLE
NUMBER    NUM_TIPOS  QTD_1 CAP_1 QTD_2 CAP_2
  25         2        12     200   13    150

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND COLETA   READY TIME  DUE DATE   SERVICE   TIME

    0      40         50          0     0       0         1236          0
    1      45         68         10     10     912         967         90
    2      45         70         30     10     825         870         90
    3      42         66         10     10     65          146         90
    4      42         68         10     10     727         782         90
    5      42         65         10     10     15          67          90
    6      40         69         20     10     621         702         90
    7      40         66         20     10     170         225         90
    8      38         68         20     10     255         324         90
    9      38         70         10     10     534         605         90
   10      35         66         10     10     357         410         90
   11      35         69         10     10     448         505         90
   12      25         85         20     10     652         721         90
   13      22         75         30     10     30          92          90
   14      22         85         10     10     567         620         90
   15      20         80         40     10     384         429         90
   16      20         85         40     10     475         528         90
   17      18         75         20     10     99          148         90
   18      15         75         20     10     179         254         90
   19      15         80         10     10     278         345         90
   20      30         50         10     10     10          73          90
   21      30         52         20     10     914         965         90
   22      28         52         20     10     812         883         90
   23      28         55         10     10     732         777         90
   24      25         50         10     10     65          144         90
   25      25         52         40     10     169         224         90
